aadt_rank,section_id,highway,section,county,section_description,section_length_km,current_year,current_aadt,prior_year,prior_aadt,yoy_growth_pct,growth_rank,capacity_threshold,over_capacity
173,104170,104,170,PIC,EXIT 18A (MT THOM) TO EXIT 19 (SALTSPRINGS),13.48,2025,6260,2022,5470,4.6,68,10000,false
173,104290,104,290,ANT,EXIT 33 (BEECH HILL RD) ( ANTIGONISH) TO EXIT 35 (RTE 316),5.47,2023,6260,2020,4510,11.55,,10000,false
175,103070,103,70,LUN,EXIT 8 (TK 14)(CHESTER) TO START OF DIVIDED HIGHWAY,1.84,2024,6250,2023,1260,396.03,,10000,false
175,103075,103,75,LUN,START OF DIVIDED HIGHWAY TO EXIT 9 (TK 12)(CHESTER BASIN),2.28,2024,6250,2021,5580,3.85,81,10000,false
177,330010,330,10,SHE,TK 3 (BARRINGTON PASSAGE) TO STONEY ISLAND RD (CENTREVILLE),5.65,2024,6220,2021,7430,-5.75,161,10000,false
178,104230,104,230,PIC,EXIT 25 (EAST RIVER RD INTER/C) TO EXIT 26 (RTE 347),3.5,2025,6160,2022,6390,-1.21,142,10000,false
179,14050,14,50,HAN,RTE 215 (BROOKLYN) TO HWY 101 INTER/C,9.48,2025,6100,2024,6860,-11.08,172,10000,false
180,324005,324,5,LUN,HWY 103 INTER/C TO RTE 325 (BLOCKHOUSE),0.85,2024,6080,2021,4690,9.04,,10000,false
181,105100,105,100,VIC,EXIT 13 (KEMPT HEAD RD) TO EXIT 14 (BOULARDERIE EAST),1.94,2023,6070,2020,4920,7.25,,10000,false
182,333025,333,25,HFX,BROOKSIDE RD TO PROSPECT RD (SHAD BAY),5.55,2025,6020,2024,5080,18.5,15,10000,false
183,101175,101,175,ANN,EXIT 17W (KINGSTON) TO EXIT 18A (VICTORIA RD INTER/C),8.02,2024,5980,2021,3830,16.01,,10000,false
183,105060,105,60,VIC,EXIT 7 (CABOT TRAIL - NYANZA) TO EXIT 8 (RTE 205 WEST OF BADDECK),7.76,2023,5980,2020,4710,8.28,,10000,false
183,3073,3,73,LUN,CHESTER-EAST CHESTER LINE TO STANFORD LAKE RD (CHESTER),2.55,2024,5980,2021,6250,-1.46,146,10000,false
186,103050,103,50,LUN,EXIT 6 (HUBBARDS INTER/C) TO EXIT 7 (EAST RIVER INTER/C),9.28,2024,5970,2022,2700,48.7,,10000,false
186,4012,4,12,COL,BIBLE HILL-VALLEY LINE TO EAST MOUNTAIN RD,2.97,2025,5970,2022,6120,-0.82,139,10000,false
188,103145,103,145,QUE,EXIT 16 (CAMPERDOWN SCHOOL RD) TO EXIT 17 (RTE 331)(MILL VILLAGE),10.65,2024,5920,2023,4080,45.1,,10000,false
188,3330,3,330,YAR,RTE 334 (ARCADIA) TO YARMOUTH EAST TOWN LINE,3.07,2024,5920,2021,2860,27.44,,10000,false
190,3140,3,140,LUN,RTE 332 (UPPER LAHAVE) TO BRIDGEWATER-DAYSPRING LINE,4.24,2024,5900,2021,5370,3.19,94,10000,false
190,354003,354,3,HFX,TK 1 (LR SACKVILLE) TO KINSAC RD,8.64,2025,5900,2024,5100,15.69,20,10000,false
192,103150,103,150,QUE,EXIT 17 (RTE 331)(MILL VILLAGE) TO EXIT 18 (TK 3)(BROOKLYN),8.09,2024,5890,2021,5120,4.78,63,10000,false
193,289050,289,50,PIC,WESTVILLE TOWN LINE TO STELLARTON NORTH LINE,4.09,2013,5880,,,,,10000,false
194,101225,101,225,DIG,EXIT 23 (DEEP BROOK INTER/C) TO EXIT 24 (SMITHS COVE INTER/C),1.56,2024,5850,2021,5660,1.11,120,10000,false
195,103090,103,90,LUN,EXIT 10 (OAKLAND LAKE) TO EXIT 11 (RTE 324)(BLOCKHOUSE),4.89,2024,5830,2021,5210,3.82,83,10000,false
195,104100,104,100,COL,TOLL BOOTHS TO EXIT 10 (STATION RD INTER/C),10.67,2025,5830,2022,5180,4.02,77,10000,false
197,2030,2,30,HFX,RTE 318 (WAVERLEY) TO HWY 102 (FALL RIVER),2.55,2025,5820,2024,5270,10.44,34,10000,false
198,104010,104,10,CUM,NB/NS BORDER TO EXIT 1 (FORT LAWRENCE RD INTER/S),0.72,2025,5780,2024,4820,19.92,,10000,false
199,101230,101,230,DIG,EXIT 24 (SMITH'S COVE INTER/C) TO EXIT 25 (JOGGINS BRIDGE),4.6,2024,5770,2021,5990,-1.24,143,10000,false
199,103080,103,80,LUN,EXIT 9 (TK 12)(CHESTER BASIN) TO END OF DIVIDED HIGHWAY,1.13,2024,5770,2021,5250,3.2,92,10000,false
199,103085,103,85,LUN,END OF DIVIDED HIGHWAY TO EXIT 10 (OAKLAND LAKE),12.62,2024,5770,2021,5250,3.2,92,10000,false
202,103270,103,270,YAR,EXIT 33 (TUSKET) TO HARDSCRATCH RD (YARMOUTH),10.15,2024,5760,2021,5710,0.29,126,10000,false
202,349010,349,10,HFX,THE ARMDALE ROTARY TO VILLAGE RD (HERRING COVE),10.74,2025,5760,2024,5830,-1.2,141,10000,false
204,2100,2,100,COL,RTE 289 (BROOKFIELD) TO TRURO TOWN LINE (SOUTH),8.32,2025,5750,2024,4950,16.16,,10000,false
205,105107,105,107,CB,EXIT 16 (MILLVILLE RD) TO EXIT 17 (HWY 162),2.64,2023,5740,2020,7110,-6.89,163,10000,false
206,1300,1,300,DIG,LITTLE BROOK RD (LITTLE BROOK) TO METEGHAN RIVER BRIDGE,9.78,2024,5720,2021,4130,11.47,,10000,false
207,7040,7,40,HFX,RTE 357 (MUSQUODOBOIT HBR) TO WEST JEDDORE RD,6.17,2025,5670,2024,5430,4.42,72,10000,false
208,325030,325,30,LUN,BRIDGEWATER TOWN LINE TO BRIDGEWATER - OAKHILL LINE,3.32,2016,5630,2010,5590,0.12,,10000,false
209,105105,105,105,VIC,EXIT 14 (BOULARDERIE EAST) TO EXIT 15 (ST JAMES RD),4.32,2023,5620,2020,2080,39.28,,10000,false
210,104080,104,80,CUM,EXIT 7 (THOMSON INTER/C)TO EXIT 8 (WENTWORTH-COLLINGWOOD RD INTER/C),10.65,2025,5610,2022,5170,2.76,101,10000,false
211,14005,14,5,HAN,TK 2 (MILFORD STATION) TO HWY 102 (MILFORD STATION),0.82,2025,5580,2024,2280,144.74,,10000,false
212,104240,104,240,PIC,EXIT 26 (RTE 347) TO EXIT 27 (TK 4) (SUTHERLAND RIVER),7.5,2025,5530,2022,5190,2.14,109,10000,false
213,4010,4,10,COL,HIGHWAY 102 INTER/C TO ROUTE 311 (NORTH RIVER),3.77,2025,5500,2022,4610,6.06,,10000,false
214,289055,289,55,PIC,STELLARTON NORTH LINE TO HWY 104 (EXIT 23),2.27,2025,5480,2022,2530,29.39,,10000,false
214,4200,4,200,CB,MEADOWS RD (SYDNEY FORKS) TO HWY 125 (SYDNEY RIVER),7.99,2025,5480,2023,13100,-35.32,190,10000,false
216,4140,4,140,RIC,WEST BAY RD (ST PETERS) TO RTE 247 (ST PETERS),1.64,2023,5450,2020,4500,6.59,,10000,false
217,125015,125,15,CB,EXIT 2 (JOHNSON RD INTER/C) TO EXIT 3 (RTE 223) (LEITCHES CREEK),6.35,2023,5420,2020,4760,4.42,,10000,false
218,103160,103,160,QUE,EXIT 18 (TK 3)(BROOKLYN) TO EXIT 19 (TK 8)(LIVERPOOL),6.4,2024,5370,2021,4590,5.37,,10000,false
219,105120,105,120,CB,EXIT 20 (HWY 125 INTER/C) TO NEWFOUNDLAND FERRY,3.13,2021,5320,2020,4210,26.37,,10000,false
220,360010,360,10,KIN,TK 1 (BERWICK) TO HWY 101 (EXIT 15),2.67,2024,5310,2021,4630,4.67,,10000,false
221,22020,22,20,CB,HWY 125 INTER/C (EXIT 8) TO MORRISON RD,5.92,2023,5300,2020,5370,-0.44,136,10000,false
222,305040,305,40,CB,NORTH SYDNEY NORTH LINE TO RTE 223 (LEITCHES CREEK),8.97,2023,5280,2020,5030,1.63,114,10000,false
223,104380,104,380,RIC,EXIT 44 (LR RIVER INHABITANTS) TO EXIT 45 (EVANSTON RD INTER/S),1.82,2023,5270,2020,3710,12.41,,10000,false
224,30060,30,60,INV,CHETICAMP BACK RD (PETIT ETANG) TO CHETICAMP BACK RD (POINT CROSS),10.19,2023,5260,2020,4140,8.31,,10000,false
225,103100,103,100,LUN,EXIT 11 (RTE 324)(BLOCKHOUSE) TO EXIT 12 (TK 10)(BRIDGEWATER),11.66,2024,5240,2021,5300,-0.38,135,10000,false
226,105093,105,93,VIC,EXIT 12 (RTE 312) (ENGLISHTOWN) TO NEW CAMPBELLTON RD,8.07,2023,5210,2020,4180,7.62,,10000,false
227,103260,103,260,YAR,EXIT 32A(WEST OF CAUSEWAY) TO EXIT 33 (TUSKET),11.81,2024,5200,2021,4490,5.02,,10000,false
228,1130,1,130,KIN,WOLFVILLE-LOWER WOLFVILLE LINE TO GREENWICH - WOLFVILLE LINE,3.54,2012,5190,,,,,10000,false
228,4138,4,138,RIC,HWY 104 (RIVER TILLARD) TO WEST BAY RD (ST PETERS),3.31,2023,5190,2022,2080,149.52,,10000,false
230,105025,105,25,INV,EXIT 3 (RIVER DENYS RD-MELFORD)TO EXIT 4 (ORANGEDALE RD),12.26,2023,5170,2020,3270,16.5,,10000,false
231,1340,1,340,YAR,RTE 340 (HEBRON) TO YARMOUTH TOWN LINE,4.04,2024,5150,2021,6410,-7.04,164,10000,false
232,104300,104,300,ANT,EXIT 35 (RTE 316) TO EXIT 36 (BAYFIELD RD) (HEATHERTON),9.29,2023,5120,2020,3110,18.08,,10000,false
233,101240,101,240,DIG,EXIT 26 (RTE 303)(DIGBY) TO MIDDLE CROSS RD (MARSHALLTOWN),3.87,2024,5100,2021,4870,1.55,,10000,false
234,101190,101,190,ANN,EXIT 18(BROOKLYN RD INTER/C) TO EXIT 19(ELLIOT RD)(LAWRENCETOWN),8.5,2024,5040,2021,3170,16.71,,10000,false
235,101245,101,245,DIG,MIDDLE CROSS RD (MARSHALLTOWN) TO NORTH RANGE CROSS ROAD (BARTON),7.26,2024,5010,2021,4730,1.94,,10000,false
235,22025,22,25,CB,MORRISON RD TO RTE 255,6.44,2023,5010,2020,5140,-0.85,140,10000,false
237,104310,104,310,ANT,EXIT 36 (BAYFIELD RD) (HEATHERTON) TO EXIT 36A (AFTON),1.21,2023,5000,2020,3140,16.77,,10000,false
238,325050,325,50,LUN,RTE 324 (BLOCKHOUSE) TO MAHONE BAY TOWN LINE,1.23,2024,4970,2021,4760,1.45,,10000,false
239,104370,104,370,RIC,EXIT 43 (PT TUPPER INTER/C) TO EXIT 44 (LR RIVER INHABITANTS),9.78,2023,4960,2020,4200,5.7,,10000,false
240,4235,4,235,CB,GARDINER RD TO WILSON RD (RESERVE MINES),5.1,2023,4950,2020,5150,-1.31,144,10000,false
241,105055,105,55,VIC,HUMES REAR RD TO EXIT 7 (CABOT TRAIL) (NYANZA),7.75,2023,4880,2020,1720,41.57,,10000,false
242,239025,239,25,CB,MURPHY RD EAST TO RTE 305 (KELTIC DR) (SYDNEY RIVER),2.28,2023,4860,2020,5410,-3.51,158,10000,false
243,103255,103,255,YAR,EXIT 32(EAST OF ARGYLE CAUSEWAY) TO EXIT 32A(WEST OF CAUSEWAY),1.44,2024,4840,2021,4740,0.7,,10000,false
244,2060,2,60,HFX,HWY 102 (ENFIELD) TO RTE 214 (ELMSDALE),5.98,2025,4790,2024,10300,-53.5,194,10000,false
245,104250,104,250,PIC,EXIT 27 (TK 4) (SUTHERLANDS RIVER) TO BROADWAY OVERPASS STRUCTURE,12.29,2025,4770,2019,8580,-9.32,,10000,false
246,101170,101,170,KIN,EXIT 17E (KINGSTON INTER/C)TO EXIT 17W (KINGSTON),1.74,2024,4750,2023,4400,7.95,,10000,false
247,104252,104,252,PIC,BROADWAY OVERPASS STRUCTURE TO EXIT 29 (TK 4),6.25,2025,4730,2022,4220,3.88,,10000,false
247,2140,2,140,COL,HWY 104 INTER/C (GLENHOLME) TO GREAT VILLAGE LORNEVALE RD (COMMON WITH TK 4),7.84,2025,4730,2022,4460,1.98,,10000,false
247,4007,4,7,COL,TK 2 (GLENHOLME) TO COBEQUID PASS (MASSTOWN) (COMMON WITH TK 2),2.86,2025,4730,2022,4460,1.98,,10000,false
250,303010,303,10,DIG,HWY 101 INTER/S TO DIGBY TOWN LINE SOUTH,2.09,2023,4720,2022,4780,-1.26,,10000,false
251,214020,214,20,HAN,HWY 102 INTER/C TO TK 14 (NINE MILE RIVER),6.45,2024,4710,2023,5000,-5.8,162,10000,false
252,22030,22,30,CB,RTE 255 TO CATALONE GUT RD (CATALONE),8.69,2023,4690,2020,4950,-1.78,,10000,false
253,101180,101,180,ANN,EXIT 18A(VICTORIA RD INTER/C) TO EXIT 18 (BROOKLYN RD INTER/C),3.36,2024,4650,2021,4630,0.14,,10000,false
253,101200,101,200,ANN,EXIT 19(ELLIOT RD)(LAWRENCETOWN) TO EXIT 20 (TK 1)(BRIDGETOWN),11.11,2024,4650,2021,2730,19.43,,10000,false
255,324010,324,10,LUN,RTE 325 (BLOCKHOUSE) TO FAUXBURG-NORTHWEST LINE,5.26,2024,4620,2021,3990,5.01,,10000,false
256,101250,101,250,DIG,NORTH RANGE CROSS ROAD (BARTON) TO FRENCH RD (PLYMPTON),5.01,2024,4610,2021,4260,2.67,,10000,false
257,104285,104,285,ANT,EXIT 32 (TK 7) (ANTIGONISH) TO EXIT 33 (BEECH HILL RD) (ANTIGONISH),2.49,2023,4580,2020,2770,18.25,,10000,false
258,1060,1,60,HAN,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),4.61,2024,4540,2023,4260,6.57,,10000,false
258,3015,3,15,HFX,TIMBERLEA VILLAGE PKWY TO HWY 103 (EXIT 4),6.62,2025,4540,2024,3580,26.82,,10000,false
258,4033,4,33,ANT,HWY 104 (EXIT 31) TO JAMES ST INTER/S,2.66,2023,4540,2020,3530,8.75,,10000,false
261,10050,10,50,LUN,BRUHM RD (WEST NORTHFIELD) TO COOKS BROOK BRIDGE,5.6,2024,4490,2021,5980,-9.11,168,10000,false
261,1180,1,180,KIN,VICTORIA RD (AYLESFORD) TO RTE 201 (AUBURN),5.69,2024,4490,2021,4060,3.41,,10000,false
263,104313,104,313,ANT,EXIT 36A (AFTON) TO EXIT 36B (PAQ'TNKEK INTER/C),3.1,2023,4480,2020,2530,20.98,,10000,false
263,105080,105,80,VIC,EXIT 10 (RTE 205 EAST OF BADDECK) TO EXIT 11 (CABOT TRAIL),8.83,2024,4480,2023,4480,0.0,,10000,false
263,2083,2,83,HAN,TK 14 (MILFORD STATION) TO RTE 224 (SHUBENACADIE EAST),5.1,2025,4480,2024,4620,-3.03,,10000,false
266,3030,3,30,HFX,RTE 333 (UPPER TANTALLON) TO HWY 103 CONNECTOR RD (INGRAMPORT),10.83,2025,4460,2024,4100,8.78,,10000,false
267,4055,4,55,ANT,SOUTH RIVER RD TO RTE 316,3.78,2023,4440,2020,2610,19.38,,10000,false
268,341010,341,10,KIN,RTE 359 (KENTVILLE) TO GIBSON RD (UPPER DYKE VILLAGE),3.64,2024,4430,2021,4500,-0.52,,10000,false
269,3080,3,80,LUN,TK 14 (ROBINSONS CORNER) TO TK 12 (CHESTER BASIN),5.05,2024,4410,2021,4660,-1.82,,10000,false
269,4100,4,100,INV,PORT HASTINGS ROTARY TO GRANVILLE ST (PORT HAWKESBURY),4.17,2023,4410,2020,5800,-8.73,167,10000,false
271,105070,105,70,VIC,EXIT 8 (RTE 205 WEST OF BADDECK) TO EXIT 9 (BADDECK CEN INTER/C),2.13,2023,4400,2020,3500,7.93,,10000,false
271,306020,306,20,HFX,HALIFAX CITY LINE TO FRASER RD (HARRIETSFIELD),6.25,2025,4400,2024,4160,5.77,,10000,false
273,325040,325,40,LUN,BRIDGEWATER - OAKHILL LINE TO RTE 324 (BLOCKHOUSE),10.3,2024,4390,2021,4120,2.14,,10000,false
274,289007,289,7,COL,TK 2 (BROOKFIELD) TO UPPER BROOKFIELD RD (BROOKFIELD),1.43,2025,4380,2024,3760,16.49,,10000,false
275,6090,6,90,COL,LAKE RD (TATAMAGOUCHE) TO RTE 311 (TATAMAGOUCHE),1.94,2025,4370,2022,4640,-1.98,,10000,false
276,14020,14,20,HAN,RTE 214 (NINE MILE RIVER) TO INDIAN RD,11.84,2025,4360,2024,3890,12.08,,10000,false
277,104315,104,315,ANT,EXIT 36B (PAQ'TNKET INTER/C) TO EXIT 37 (MONASTERY),8.74,2023,4330,2020,2340,22.77,,10000,false
277,7110,7,110,ANT,HWY 104 (EXIT 32) TO TK 4 (ANTIGONISH),0.28,2023,4330,2020,7240,-15.75,177,10000,false
279,101255,101,255,DIG,FRENCH RD (PLYMPTON) TO EXIT 27 (TK 1)(WEYMOUTH NORTH),7.65,2024,4320,2021,4040,2.26,,10000,false
280,4185,4,185,CB,BEN EOIN-EAST BAY LINE TO RTE 216 (EAST BAY),6.16,2023,4300,2020,3240,9.89,,10000,false
281,1185,1,185,KIN,RTE 201 (AUBURN) TO KINGS-ANNAPOLIS COUNTY LINE,6.31,2024,4280,2021,4090,1.53,,10000,false
281,4040,4,40,ANT,TK 7 INTER/S TO CHURCH ST INTER/S,1.07,2023,4280,2020,2730,16.17,,10000,false
283,2220,2,220,CUM,RTE 302 (UPPER NAPPAN) TO AMHERST TOWN LINE SOUTH,2.6,2025,4270,2022,2280,23.26,,10000,false
284,3090,3,90,LUN,TK 12 (CHESTER BASIN) TO WESTERN SHORE-GOLD RIVER LINE,4.65,2024,4260,2021,4430,-1.3,,10000,false
285,105020,105,20,INV,EXIT 2 (RIVERSIDE RD) TO EXIT 3 (RIVER DENYS RD) (MELFORD),12.34,2023,4250,2020,3270,9.13,,10000,false
286,12015,12,15,KIN,HWY 101 (EXIT 13) TO ENGLISH MOUNTAIN RD (SOUTH ALTON),3.68,2024,4240,2021,3910,2.74,,10000,false
286,305050,305,50,CB,RTE 223 (LEITCHES CREEK) TO TK 4 (SYDNEY),10.83,2023,4240,2020,8110,-19.44,180,10000,false
286,324020,324,20,LUN,FAUXBURG-NORTHWEST LINE TO TK 3 (LUNENBURG),5.49,2024,4240,2021,4220,0.16,,10000,false
289,12010,12,10,KIN,KENTVILLE TOWN LINE TO HWY 101 (EXIT 13),1.72,2024,4220,2022,1320,78.8,,10000,false
290,4110,4,110,INV,GRANVILLE ST (PORT HAWKESBURY) TO HWY 104 (EXIT 43),3.95,2025,4200,2023,4290,-1.05,,10000,false
291,347020,347,20,PIC,HWY 104 (EXIT 26) TO MCLELLANS MOUNTAIN RD (GREENWOOD),4.15,2025,4170,2022,4220,-0.4,,10000,false
292,1120,1,120,KIN,HWY 101 (HORTONVILLE) TO WOLFVILLE-LOWER WOLFVILLE LINE,4.36,2024,4120,2021,3470,5.89,,10000,false
292,3110,3,110,LUN,HWY 103 (EXIT 10) TO MAHONE BAY-OAKLAND LINE,1.79,2024,4120,2023,1890,117.99,,10000,false
294,1170,1,170,KIN,RTE 360 (BERWICK) TO VICTORIA RD (AYLESFORD),8.44,2024,4090,2022,1980,43.72,,10000,false
295,101300,101,300,YAR,EXIT 34 (RTE 340)(HEBRON) TO TK 3 (YARMOUTH),7.15,2024,4070,2021,3390,6.28,,10000,false
295,2050,2,50,HFX,SUNNYLEA RD TO HWY 102 (ENFIELD),10.16,2025,4070,2024,4100,-0.73,,10000,false
295,4011,4,11,COL,RTE 311 (NORTH RIVER) TO BIBLE HILL-VALLEY LINE,5.62,2025,4070,2022,10200,-26.38,184,10000,false
298,105090,105,90,VIC,EXIT 11 (CABOT TRAIL) TO EXIT 12 (RTE 312) (ENGLISHTOWN),4.05,2023,4060,2020,1490,39.67,,10000,false
299,105050,105,50,VIC,EXIT 6 (RTE 223) TO HUMES REAR RD,9.33,2023,4040,2020,3150,8.65,,10000,false
299,28015,28,15,CB,DOMINION-GLACE BAY LINE TO DOMINION-GARDINER MINES LINE,3.31,2014,4040,2011,1890,28.82,,10000,false
301,103250,103,250,YAR,EXIT 31(PUBNICO INTER/C) TO EXIT 32(EAST OF ARGYLE CAUSEWAY),12.62,2025,3990,2023,3760,3.01,,10000,false
302,3153,3,153,LUN,BRIDGEWATER/HEBBVILLE LINE TO CROSS RD (HEBBVILLE),2.0,2024,3980,2021,3800,1.55,,10000,false
303,105075,105,75,VIC,EXIT 9 (BADDECK CEN INTER/C) TO EXIT 10 (RTE 205 EAST OF BADDECK),9.01,2023,3970,2020,2940,10.53,,10000,false
304,3135,3,135,LUN,CENTRE-LUNENBURG LINE TO RTE 332 (UPPER LAHAVE),10.82,2024,3950,2021,3560,3.53,,10000,false
305,106010,106,10,PIC,EXIT 1 (HWY 104 INTER/C) TO EXIT 1A (MT WILLIAM RD INTER/C),1.26,2025,3940,2022,3480,4.23,,10000,false
306,104280,104,280,ANT,EXIT 31 (ADDINGTON FORKS RD) TO EXIT 32 (TK 7) (ANTIGONISH),2.28,2023,3910,2020,2040,24.22,,10000,false
307,376030,376,30,PIC,RTE 256 (SCOTSBURN RD) TO PICTOU ROTARY,4.76,2025,3900,2022,4670,-5.83,,10000,false
308,331015,331,15,LUN,BRIDGEWATER TOWN LINE SOUTH TO NEW CUMBERLAND RD (PLEASANTVILLE),6.51,2024,3870,2021,4100,-1.91,,10000,false
309,306025,306,25,HFX,FRASER RD (HARRIETSFIELD) TO RTE 349 (SAMBRO),8.59,2025,3860,2024,3770,2.39,,10000,false
310,104320,104,320,ANT,EXIT 37 (MONASTERY) TO EXIT 38 (HAVRE BOUCHER INTER/C),10.12,2023,3840,2020,2300,18.63,,10000,false
310,305030,305,30,CB,SYDNEY MINES NORTH LINE TO NORTH SYDNEY NORTH LINE,5.97,2014,3840,2011,3650,1.71,,10000,false
312,104400,104,400,RIC,EXIT 47 (SPORTING MTN INTER/C) TO TK 4 (RIVER TILLARD),4.34,2023,3790,2020,2560,13.97,,10000,false
313,3070,3,70,LUN,GRAVES ISLAND RD (EAST CHESTER) TO CHESTER-EAST CHESTER LINE,2.26,2024,3770,2021,4020,-2.12,,10000,false
314,6010,6,10,CUM,HWY 104 (AMHERST) TO AMHERST TOWN LINE (EAST),4.68,2025,3760,2022,2900,9.04,,10000,false
315,105010,105,10,INV,PORT HASTINGS ROTARY TO MACMASTER RD (QUEENSVILLE),10.85,2025,3730,2024,3740,-0.27,,10000,false
316,8050,8,50,QUE,RIVER RD (MILTON) TO LIVERPOOL TOWN LINE,5.36,2024,3720,2021,3290,4.18,,10000,false
317,12043,12,43,LUN,CHESTER GRANT RD TO HWY 103 (EXIT 9),4.31,2024,3710,2021,3350,3.46,,10000,false
318,104390,104,390,RIC,EXIT 46 (LOUISDALE INTER/C) TO EXIT 47 (SPORTING MTN INTER/C),10.49,2023,3700,2020,2570,12.92,,10000,false
318,1215,1,215,ANN,HWY 101 INTERCHANGE STRUCTURE TO BRIDGETOWN/UPPER GRANVILLE LINE,3.28,2024,3700,2021,4660,-7.4,,10000,false
318,14070,14,70,HAN,TK 1 (WINDSOR) TO WINDSOR TOWN LINE,2.21,2025,3700,2024,3210,15.26,,10000,false
318,4035,4,35,ANT,JAMES ST INTER/S TO TK 7 INTER/S,0.5,2023,3700,2020,2760,10.26,,10000,false
322,305020,305,20,CB,LITTLE POND RD (FLORENCE) TO SYDNEY MINES NORTH LINE,0.93,2023,3680,2020,3400,2.67,,10000,false
322,7035,7,35,HFX,RTE 207 (PORTERS LAKE) TO HWY 107 (MUSQUODOBOIT HBR),10.45,2025,3680,2024,3740,-1.6,,10000,false
324,12045,12,45,LUN,HWY 103 (EXIT 9) TO TK 3 (CHESTER BASIN),1.27,2024,3660,2021,3470,1.79,,10000,false
325,4050,4,50,ANT,BEECH HILL INTER/S TO SOUTH RIVER RD,2.06,2023,3630,2017,810,28.4,,10000,false
326,7031,7,31,HFX,MINESVILLE RD TO OLD LAKE ECHO RD,2.54,2024,3610,2023,3830,-5.74,,10000,false
327,328010,328,10,HFX,TK 7 TO RTE 207,2.69,2007,3580,2005,4290,-8.65,,10000,false
328,3060,3,60,LUN,RTE 329 (EAST RIVER) TO GRAVES ISLAND RD (EAST CHESTER),5.49,2024,3570,2021,1780,26.11,,10000,false
329,104385,104,385,RIC,EXIT 45 (EVANSTON RD INTER/S) TO EXIT 46 (LOUISDALE INTER/C),11.15,2023,3560,2020,1490,33.69,,10000,false
330,14075,14,75,HAN,WINDSOR TOWN LINE TO SANGSTER BRIDGE RD (WINDSOR FORKS),4.36,2025,3540,2024,2910,21.65,,10000,false
331,101290,101,290,YAR,EXIT 33 (RICHMOND RD INTER/C) TO EXIT 34 (RTE 340)(HEBRON),9.98,2024,3520,2018,3680,-0.74,,10000,false
331,7043,7,43,HFX,WEST JEDDORE RD TO CLAM HARBOUR RD (LAKE CHARLOTTE),11.12,2025,3520,2024,4030,-12.66,,10000,false
333,327020,327,20,CB,HWY 125 (EXIT 7) TO CARIBOU MARSH RD (CARIBOU MARSH),5.66,2023,3510,2020,3540,-0.28,,10000,false
334,1070,1,70,HAN,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),3.67,2025,3490,2024,3800,-8.16,,10000,false
335,331005,331,5,LUN,TK 10 (COOKVILLE) TO BRIDGEWATER TOWN LINE NORTH,1.06,2024,3470,2021,2790,7.54,,10000,false
335,4245,4,245,CB,GLACE BAY-RESERVE MINES LINE TO TK 28 (GLACE BAY),3.95,2014,3470,2011,5290,-13.11,175,10000,false
337,105015,105,15,INV,MACMASTER RD (QUEENSVILLE) TO EXIT 2 (RIVERSIDE RD),7.06,2023,3460,2020,2890,6.18,,10000,false
338,332005,332,5,LUN,TK 3 (DEANS CORNER) TO TK 3 (CENTRE),1.59,2024,3450,2021,3110,3.52,,10000,false
339,103170,103,170,QUE,EXIT 19 (TK 8)(LIVERPOOL) TO EXIT 20A (LIVERPOOL),3.48,2024,3430,2021,3490,-0.58,,10000,false
340,103230,103,230,SHE,EXIT 28 (CLYDE RIVER) TO EXIT 29 (EAST OF BARRINGTON),10.98,2024,3420,2021,3270,1.51,,10000,false
341,101210,101,210,ANN,EXIT 20 (TK 1)(BRIDGETOWN) TO EXIT 21 (RICE RD),4.7,2024,3390,2021,1740,24.9,,10000,false
342,101215,101,215,ANN,EXIT 21 (RICE RD) TO EXIT 22 (TK 8),21.29,2024,3370,2021,2300,13.58,,10000,false
342,14025,14,25,HAN,INDIAN RD TO RTE 354 (UPPER RAWDON),5.18,2025,3370,2024,2230,51.12,,10000,false
344,28040,28,40,CB,KILKENNY LAKE RD TO SYDNEY TOWN LINE,6.32,2023,3360,2020,3710,-3.25,,10000,false
345,14100,14,100,LUN,HWY 103 (EXIT 8) TO TK 3 (ROBINSONS CORNER),2.96,2024,3340,2023,3110,7.4,,10000,false
346,19045,19,45,INV,STRATHLORNE-SCOTSVILLE RD TO INVERNESS-INVERSIDE LINE,6.42,2023,3330,2021,1360,56.48,,10000,false
347,101220,101,220,ANN,EXIT 22 (TK 8) TO EXIT 23A (MARY JANE RILEY RD),13.98,2024,3320,2021,2930,4.25,,10000,false
347,306010,306,10,HFX,RTE 349 (HERRING COVE RD) TO HALIFAX CITY LINE,3.78,2025,3320,2024,7960,-58.29,195,10000,false
349,101285,101,285,YAR,EXIT 32 (HECTANOOGA RD INTER/C) TO EXIT 33 (RICHMOND RD INTER/C),8.53,2025,3300,2024,3250,1.54,,10000,false
349,3260,3,260,SHE,HWY 103 (BARRINGTON) TO OAK PARK RD (BARRINGTON WEST),2.57,2024,3300,2021,3730,-4.0,,10000,false
351,105040,105,40,INV,EXIT 5 (RTE 252) (WHYCOCOMAGH) TO EXIT 6 (RTE 223),11.08,2023,3290,2020,2840,5.02,,10000,false
352,4150,4,150,RIC,RTE 247 (ST PETERS) TO SOLDIER'S COVE RD,10.44,2023,3280,2020,2360,11.6,,10000,false
