"area","area_type","year","residential","commercial"
"CITY OF SYDNEY","Cape Breton Regional","2018/2019","2.266","5.457"
"DOMINION","Cape Breton Regional","2018/2019","2.066","5.203"
"GLACE BAY","Cape Breton Regional","2018/2019","2.094","5.203"
"LOUISBOURG","Cape Breton Regional","2018/2019","2.016","5.259"
"NEW WATERFORD","Cape Breton Regional","2018/2019","2.08","5.226"
"NORTH SYDNEY","Cape Breton Regional","2018/2019","2.106","5.242"
"SYDNEY MINES","Cape Breton Regional","2018/2019","1.991","5.127"
"BEDFORD","Halifax Regional","2018/2019","1.2055","3.3735"
"COUNTY RURAL","Halifax Regional","2018/2019","1.1595","3.004"
"COUNTY SUBURBAN","Halifax Regional","2018/2019","1.1725","3.3735"
"COUNTY URBAN","Halifax Regional","2018/2019","1.2055","3.3735"
"DARTMOUTH","Halifax Regional","2018/2019","1.2055","3.3735"
"HALIFAX","Halifax Regional","2018/2019","1.2055","3.3735"
"LIVERPOOL","Region of Queens","2018/2019","1.92","3.02"
"QUEENS COUNTY","Region of Queens","2018/2019","1.04","2.14"
"ANNAPOLIS","Rural Municipality","2018/2019","1.015","1.8"
"ANTIGONISH","Rural Municipality","2018/2019","0.88","1.46"
"ARGYLE","Rural Municipality","2018/2019","1.07","2.25"
"BARRINGTON","Rural Municipality","2018/2019","1.01","2.56"
"CHESTER","Rural Municipality","2018/2019","0.705","1.53"
"CLARE","Rural Municipality","2018/2019","1.04","2.07"
"COLCHESTER","Rural Municipality","2018/2019","0.88","2.28"
"CUMBERLAND","Rural Municipality","2018/2019","1.17","2.76"
"DIGBY","Rural Municipality","2018/2019","1.3","1.85"
"EAST HANTS","Rural Municipality","2018/2019","0.8607","2.61"
"GUYSBOROUGH","Rural Municipality","2018/2019","0.66","2.63"
"INVERNESS","Rural Municipality","2018/2019","1.02","1.85"
"KINGS","Rural Municipality","2018/2019","0.853","2.287"
"LUNENBURG","Rural Municipality","2018/2019","0.81","1.957"
"PICTOU","Rural Municipality","2018/2019","0.81","1.82"
"RICHMOND","Rural Municipality","2018/2019","0.8","2.1"
"SHELBURNE","Rural Municipality","2018/2019","1.26","1.82"
"ST. MARY'S","Rural Municipality","2018/2019","0.94","2.25"
"VICTORIA","Rural Municipality","2018/2019","1.22","2.12"
"WEST HANTS","Rural Municipality","2018/2019","1.0163","1.8"
"YARMOUTH","Rural Municipality","2018/2019","1.17","2.16"
"AMHERST","Town","2018/2019","1.635","4.435"
"ANNAPOLIS ROYAL","Town","2018/2019","1.65","3.15"
"ANTIGONISH","Town","2018/2019","1.09","2.61"
"BERWICK","Town","2018/2019","1.189","3.481"
"BRIDGEWATER","Town","2018/2019","1.65","3.97"
"CLARK'S HARBOR","Town","2018/2019","1.68","5.58"
"DIGBY","Town","2018/2019","1.99","4.24"
"KENTVILLE","Town","2018/2019","1.4022","3.3063"
"LOCKEPORT","Town","2018/2019","2.36","5.39"
"LUNENBURG","Town","2018/2019","1.344","3.32"
"MAHONE BAY","Town","2018/2019","1.23","3.02"
"MIDDLETON","Town","2018/2019","1.84","4.32"
"MULGRAVE","Town","2018/2019","1.1786","4.3116"
"NEW GLASGOW","Town","2018/2019","1.82","4.4"
"OXFORD","Town","2018/2019","1.62","4.035"
"PICTOU","Town","2018/2019","1.64","4.34"
"PORT HAWKESBURY","Town","2018/2019","1.8","4.38"
"SHELBURNE","Town","2018/2019","2.04","3.86"
"STELLARTON","Town","2018/2019","1.82","4.15"
"STEWIACKE","Town","2018/2019","1.665","3.46"
"TRENTON","Town","2018/2019","1.38","3.98"
"TRURO","Town","2018/2019","1.83","4.5"
"WESTVILLE","Town","2018/2019","2.08","3.69"
"WINDSOR","Town","2018/2019","1.88","3.95"
"WOLFVILLE","Town","2018/2019","1.46","3.57"
"YARMOUTH","Town","2018/2019","1.66","4.28"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2017/2018","1.665","4.854"
"CITY OF SYDNEY","Cape Breton Regional","2017/2018","2.266","5.457"
"DOMINION","Cape Breton Regional","2017/2018","2.066","5.203"
"GLACE BAY","Cape Breton Regional","2017/2018","2.094","5.23"
"LOUISBOURG","Cape Breton Regional","2017/2018","2.016","5.259"
"NEW WATERFORD","Cape Breton Regional","2017/2018","2.08","5.226"
"NORTH SYDNEY","Cape Breton Regional","2017/2018","2.106","5.242"
"SYDNEY MINES","Cape Breton Regional","2017/2018","1.991","5.127"
"BEDFORD","Halifax Regional","2017/2018","1.198","3.318"
"COUNTY RURAL","Halifax Regional","2017/2018","1.152","2.955"
"COUNTY SUBURBAN","Halifax Regional","2017/2018","1.165","3.318"
"COUNTY URBAN","Halifax Regional","2017/2018","1.198","3.318"
"DARTMOUTH","Halifax Regional","2017/2018","1.198","3.318"
"HALIFAX","Halifax Regional","2017/2018","1.198","3.318"
"LIVERPOOL","Region of Queens","2017/2018","1.9","3"
"QUEENS COUNTY","Region of Queens","2017/2018","1.02","2.12"
"ANNAPOLIS","Rural Municipality","2017/2018","0.994","1.8"
"ANTIGONISH","Rural Municipality","2017/2018","0.88","1.46"
"ARGYLE","Rural Municipality","2017/2018","1.07","2.25"
"BARRINGTON","Rural Municipality","2017/2018","1.01","2.56"
"CHESTER","Rural Municipality","2017/2018","0.705","1.53"
"CLARE","Rural Municipality","2017/2018","1.04","2.07"
"COLCHESTER","Rural Municipality","2017/2018","0.88","2.28"
"CUMBERLAND","Rural Municipality","2017/2018","1.04","2.63"
"DIGBY","Rural Municipality","2017/2018","1.3","1.85"
"EAST HANTS","Rural Municipality","2017/2018","0.859","2.66"
"GUYSBOROUGH","Rural Municipality","2017/2018","0.61","2.58"
"INVERNESS","Rural Municipality","2017/2018","1.02","1.85"
"KINGS","Rural Municipality","2017/2018","0.853","2.287"
"LUNENBURG","Rural Municipality","2017/2018","0.81","1.957"
"PICTOU","Rural Municipality","2017/2018","0.81","1.82"
"RICHMOND","Rural Municipality","2017/2018","0.8","2.1"
"SHELBURNE","Rural Municipality","2017/2018","1.26","1.82"
"ST. MARY'S","Rural Municipality","2017/2018","0.92","2.23"
"VICTORIA","Rural Municipality","2017/2018","1.2","2.1"
"WEST HANTS","Rural Municipality","2017/2018","1.016","1.8"
"YARMOUTH","Rural Municipality","2017/2018","1.16","2.15"
"AMHERST","Town","2017/2018","1.63","4.43"
"ANNAPOLIS ROYAL","Town","2017/2018","1.65","3.15"
"ANTIGONISH","Town","2017/2018","1.06","2.58"
"BERWICK","Town","2017/2018","1.199","3.491"
"BRIDGEWATER","Town","2017/2018","1.65","3.97"
"CLARK'S HARBOR","Town","2017/2018","1.65","5.58"
"DIGBY","Town","2017/2018","1.99","4.24"
"KENTVILLE","Town","2017/2018","1.387","3.341"
"LOCKEPORT","Town","2017/2018","2.31","5.39"
"LUNENBURG","Town","2017/2018","1.333","3.286"
"MAHONE BAY","Town","2017/2018","1.19","2.98"
"MIDDLETON","Town","2017/2018","1.84","4.32"
"MULGRAVE","Town","2017/2018","1.188","4.321"
"NEW GLASGOW","Town","2017/2018","1.82","4.4"
"OXFORD","Town","2017/2018","1.59","3.97"
"PICTOU","Town","2017/2018","1.64","4.34"
"PORT HAWKESBURY","Town","2017/2018","1.8","4.38"
"SHELBURNE","Town","2017/2018","2.04","3.86"
"STELLARTON","Town","2017/2018","1.82","4.15"
"STEWIACKE","Town","2017/2018","1.665","3.46"
"TRENTON","Town","2017/2018","1.99","5.44"
"TRURO","Town","2017/2018","1.83","4.48"
"WESTVILLE","Town","2017/2018","2.08","3.69"
"WINDSOR","Town","2017/2018","1.9","3.99"
"WOLFVILLE","Town","2017/2018","1.45","3.56"
"YARMOUTH","Town","2017/2018","1.64","4.26"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2016/2017","1.67","4.85"
"CITY OF SYDNEY","Cape Breton Regional","2016/2017","2.256","5.627"
"DOMINION","Cape Breton Regional","2016/2017","2.07","5.2"
"GLACE BAY","Cape Breton Regional","2016/2017","2.09","5.23"
"LOUISBOURG","Cape Breton Regional","2016/2017","2.02","5.26"
"NEW WATERFORD","Cape Breton Regional","2016/2017","2.07","5.216"
"NORTH SYDNEY","Cape Breton Regional","2016/2017","2.096","5.232"
"SYDNEY MINES","Cape Breton Regional","2016/2017","1.981","5.117"
"BEDFORD","Halifax Regional","2016/2017","1.21","3.29"
"COUNTY RURAL","Halifax Regional","2016/2017","1.16","2.93"
"COUNTY SUBURBAN","Halifax Regional","2016/2017","1.18","3.29"
"COUNTY URBAN","Halifax Regional","2016/2017","1.21","3.29"
"DARTMOUTH","Halifax Regional","2016/2017","1.21","3.29"
"HALIFAX URBAN CORE","Halifax Regional","2016/2017","1.21","3.29"
"LIVERPOOL","Region of Queens","2016/2017","1.9","3"
"QUEENS COUNTY","Region of Queens","2016/2017","1.02","2.12"
"ANNAPOLIS","Rural Municipality","2016/2017","0.98","1.8"
"ANTIGONISH","Rural Municipality","2016/2017","0.88","1.46"
"ARGYLE","Rural Municipality","2016/2017","1.07","2.25"
"BARRINGTON","Rural Municipality","2016/2017","1","2.55"
"CHESTER","Rural Municipality","2016/2017","0.69","1.53"
"CLARE","Rural Municipality","2016/2017","1.04","2.07"
"COLCHESTER","Rural Municipality","2016/2017","0.87","2.27"
"CUMBERLAND","Rural Municipality","2016/2017","1.04","2.63"
"DIGBY","Rural Municipality","2016/2017","1.3","1.85"
"EAST HANTS","Rural Municipality","2016/2017","0.87","2.71"
"GUYSBOROUGH","Rural Municipality","2016/2017","0.61","2.58"
"INVERNESS","Rural Municipality","2016/2017","1.02","1.85"
"KINGS","Rural Municipality","2016/2017","0.85","2.29"
"LUNENBURG","Rural Municipality","2016/2017","0.81","1.96"
"PICTOU","Rural Municipality","2016/2017","0.81","1.82"
"RICHMOND","Rural Municipality","2016/2017","0.8","2.1"
"SHELBURNE","Rural Municipality","2016/2017","1.26","1.82"
"ST. MARY'S","Rural Municipality","2016/2017","0.89","2.2"
"VICTORIA","Rural Municipality","2016/2017","1.2","2.1"
"WEST HANTS","Rural Municipality","2016/2017","1.02","1.8"
"YARMOUTH","Rural Municipality","2016/2017","1.16","2.15"
"AMHERST","Town","2016/2017","1.63","4.45"
"ANNAPOLIS ROYAL","Town","2016/2017","1.65","3.15"
"ANTIGONISH","Town","2016/2017","1.06","2.58"
"BERWICK","Town","2016/2017","1.199","3.491"
"BRIDGEWATER","Town","2016/2017","1.65","3.99"
"CLARK'S HARBOR","Town","2016/2017","1.65","5.58"
"DIGBY","Town","2016/2017","1.99","4.24"
"KENTVILLE","Town","2016/2017","1.39","3.33"
"LOCKEPORT","Town","2016/2017","2.31","5.39"
"LUNENBURG","Town","2016/2017","1.31","3.28"
"MAHONE BAY","Town","2016/2017","1.16","2.95"
"MIDDLETON","Town","2016/2017","1.82","4.3"
"MULGRAVE","Town","2016/2017","1.24","4.37"
"NEW GLASGOW","Town","2016/2017","1.82","4.4"
"OXFORD","Town","2016/2017","1.59","4.98"
"PARRSBORO","Town","2016/2017","1.75","3.85"
"PICTOU","Town","2016/2017","1.64","4.34"
"PORT HAWKESBURY","Town","2016/2017","1.8","4.38"
"SHELBURNE","Town","2016/2017","2.04","3.86"
"STELLARTON","Town","2016/2017","1.82","4.15"
"STEWIACKE","Town","2016/2017","1.67","3.46"
"TRENTON","Town","2016/2017","1.99","5.44"
"TRURO","Town","2016/2017","1.82","4.48"
"WESTVILLE","Town","2016/2017","2.08","3.69"
"WINDSOR","Town","2016/2017","1.9","3.99"
"WOLFVILLE","Town","2016/2017","1.44","3.56"
"YARMOUTH","Town","2016/2017","1.67","4.31"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2015/2016","1.92","5.05"
"CITY OF SYDNEY","Cape Breton Regional","2015/2016","2.26","5.63"
"DOMINION","Cape Breton Regional","2015/2016","2.06","5.19"
"GLACE BAY","Cape Breton Regional","2015/2016","2.08","5.22"
"LOUISBOURG","Cape Breton Regional","2015/2016","2.01","5.25"
"NEW WATERFORD","Cape Breton Regional","2015/2016","2.07","5.22"
"NORTH SYDNEY","Cape Breton Regional","2015/2016","2.1","5.23"
"SYDNEY MINES","Cape Breton Regional","2015/2016","1.98","5.12"
"BEDFORD","Halifax Regional","2015/2016","1.21","3.36"
"COUNTY RURAL","Halifax Regional","2015/2016","1.16","2.98"
"COUNTY SUBURBAN","Halifax Regional","2015/2016","1.18","3.36"
"COUNTY URBAN","Halifax Regional","2015/2016","1.21","3.36"
"DARTMOUTH","Halifax Regional","2015/2016","1.21","3.36"
"HALIFAX URBAN CORE","Halifax Regional","2015/2016","1.21","3.36"
"LIVERPOOL","Region of Queens","2015/2016","1.87","2.95"
"QUEENS COUNTY","Region of Queens","2015/2016","0.99","2.07"
"ANNAPOLIS","Rural Municipality","2015/2016","0.98","1.8"
"ANTIGONISH","Rural Municipality","2015/2016","0.88","1.46"
"ARGYLE","Rural Municipality","2015/2016","1.07","2.25"
"BARRINGTON","Rural Municipality","2015/2016","1","2.55"
"CHESTER","Rural Municipality","2015/2016","0.69","1.53"
"CLARE","Rural Municipality","2015/2016","1.04","2.07"
"COLCHESTER","Rural Municipality","2015/2016","0.85","2.25"
"CUMBERLAND","Rural Municipality","2015/2016","1.04","2.63"
"DIGBY","Rural Municipality","2015/2016","1.3","1.85"
"EAST HANTS","Rural Municipality","2015/2016","0.86","2.7"
"GUYSBOROUGH","Rural Municipality","2015/2016","0.61","2.58"
"INVERNESS","Rural Municipality","2015/2016","1.02","1.85"
"KINGS","Rural Municipality","2015/2016","0.85","2.29"
"LUNENBURG","Rural Municipality","2015/2016","0.81","1.96"
"PICTOU","Rural Municipality","2015/2016","0.81","1.82"
"RICHMOND","Rural Municipality","2015/2016","0.78","2.08"
"SHELBURNE","Rural Municipality","2015/2016","1.26","1.82"
"ST. MARY'S","Rural Municipality","2015/2016","0.87","2.18"
"VICTORIA","Rural Municipality","2015/2016","1.2","2.1"
"WEST HANTS","Rural Municipality","2015/2016","1.01","1.8"
"YARMOUTH","Rural Municipality","2015/2016","1.16","2.15"
"AMHERST","Town","2015/2016","1.63","4.45"
"ANNAPOLIS ROYAL","Town","2015/2016","1.65","3.15"
"ANTIGONISH","Town","2015/2016","1.04","2.57"
"BERWICK","Town","2015/2016","1.21","3.5"
"BRIDGEWATER","Town","2015/2016","1.65","3.99"
"CLARK'S HARBOR","Town","2015/2016","1.65","5.58"
"DIGBY","Town","2015/2016","1.99","4.18"
"HANTSPORT","Town","2015/2016","1.66","3.82"
"KENTVILLE","Town","2015/2016","1.37","3.33"
"LOCKEPORT","Town","2015/2016","2.31","5.39"
"LUNENBURG","Town","2015/2016","1.31","3.28"
"MAHONE BAY","Town","2015/2016","1.11","2.86"
"MIDDLETON","Town","2015/2016","1.81","4.29"
"MULGRAVE","Town","2015/2016","1.29","4.42"
"NEW GLASGOW","Town","2015/2016","1.82","4.4"
"OXFORD","Town","2015/2016","1.59","4.98"
"PARRSBORO","Town","2015/2016","1.75","3.85"
"PICTOU","Town","2015/2016","1.63","4.33"
"PORT HAWKESBURY","Town","2015/2016","1.8","4.38"
"SHELBURNE","Town","2015/2016","2.04","3.86"
"STELLARTON","Town","2015/2016","1.82","4.15"
"STEWIACKE","Town","2015/2016","1.67","3.46"
"TRENTON","Town","2015/2016","1.99","5.44"
"TRURO","Town","2015/2016","1.8","4.47"
"WESTVILLE","Town","2015/2016","2.08","3.69"
"WINDSOR","Town","2015/2016","1.9","3.99"
"WOLFVILLE","Town","2015/2016","1.43","3.55"
"YARMOUTH","Town","2015/2016","1.71","4.39"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2014/2015","1.92","5.05"
"CITY OF SYDNEY","Cape Breton Regional","2014/2015","2.26","5.63"
"DOMINION","Cape Breton Regional","2014/2015","2.06","5.19"
"GLACE BAY","Cape Breton Regional","2014/2015","2.08","5.22"
"LOUISBOURG","Cape Breton Regional","2014/2015","2.01","5.25"
"NEW WATERFORD","Cape Breton Regional","2014/2015","2.07","5.22"
"NORTH SYDNEY","Cape Breton Regional","2014/2015","2.1","5.23"
"SYDNEY MINES","Cape Breton Regional","2014/2015","1.98","5.12"
"BEDFORD","Halifax Regional","2014/2015","1.21","3.4"
"COUNTY RURAL","Halifax Regional","2014/2015","1.15","3"
"COUNTY SUBURBAN","Halifax Regional","2014/2015","1.18","3.4"
"COUNTY URBAN","Halifax Regional","2014/2015","1.21","3.4"
"DARTMOUTH","Halifax Regional","2014/2015","1.21","3.4"
"HALIFAX URBAN CORE","Halifax Regional","2014/2015","1.21","3.4"
"LIVERPOOL","Region of Queens","2014/2015","1.85","2.95"
"QUEENS COUNTY","Region of Queens","2014/2015","0.97","2.07"
"ANNAPOLIS","Rural Municipality","2014/2015","0.98","1.8"
"ANTIGONISH","Rural Municipality","2014/2015","0.88","1.46"
"ARGYLE","Rural Municipality","2014/2015","1.07","2.25"
"BARRINGTON","Rural Municipality","2014/2015","1","2.55"
"CHESTER","Rural Municipality","2014/2015","0.69","1.53"
"CLARE","Rural Municipality","2014/2015","1.04","2.07"
"COLCHESTER","Rural Municipality","2014/2015","0.85","2.25"
"CUMBERLAND","Rural Municipality","2014/2015","1.04","2.63"
"DIGBY","Rural Municipality","2014/2015","1.3","1.85"
"EAST HANTS","Rural Municipality","2014/2015","0.87","2.7"
"GUYSBOROUGH","Rural Municipality","2014/2015","0.61","2.58"
"INVERNESS","Rural Municipality","2014/2015","1.02","1.85"
"KINGS","Rural Municipality","2014/2015","0.85","2.29"
"LUNENBURG","Rural Municipality","2014/2015","0.81","1.96"
"PICTOU","Rural Municipality","2014/2015","0.81","1.82"
"RICHMOND","Rural Municipality","2014/2015","0.77","2.07"
"SHELBURNE","Rural Municipality","2014/2015","1.26","1.82"
"ST. MARY'S","Rural Municipality","2014/2015","0.84","2.15"
"VICTORIA","Rural Municipality","2014/2015","1.2","2.1"
"WEST HANTS","Rural Municipality","2014/2015","0.97","1.75"
"YARMOUTH","Rural Municipality","2014/2015","1.16","2.15"
"AMHERST","Town","2014/2015","1.63","4.45"
"ANNAPOLIS ROYAL","Town","2014/2015","1.65","3.15"
"ANTIGONISH","Town","2014/2015","1.02","2.55"
"BERWICK","Town","2014/2015","1.2","3.49"
"BRIDGETOWN","Town","2014/2015","2.13","3.93"
"BRIDGEWATER","Town","2014/2015","1.65","3.99"
"CLARK'S HARBOR","Town","2014/2015","1.65","5.58"
"DIGBY","Town","2014/2015","1.99","4.18"
"HANTSPORT","Town","2014/2015","1.66","3.82"
"KENTVILLE","Town","2014/2015","1.38","3.36"
"LOCKEPORT","Town","2014/2015","2.28","5.36"
"LUNENBURG","Town","2014/2015","1.29","3.28"
"MAHONE BAY","Town","2014/2015","1.15","2.91"
"MIDDLETON","Town","2014/2015","1.79","4.27"
"MULGRAVE","Town","2014/2015","1.26","4.39"
"NEW GLASGOW","Town","2014/2015","1.82","4.4"
"OXFORD","Town","2014/2015","1.6","4.99"
"PARRSBORO","Town","2014/2015","1.8","3.99"
"PICTOU","Town","2014/2015","1.63","4.33"
"PORT HAWKESBURY","Town","2014/2015","1.8","4.38"
"SHELBURNE","Town","2014/2015","2.04","3.86"
"SPRINGHILL","Town","2014/2015","2.25","5.53"
"STELLARTON","Town","2014/2015","1.82","4.15"
"STEWIACKE","Town","2014/2015","1.7","3.41"
"TRENTON","Town","2014/2015","1.99","5.49"
"TRURO","Town","2014/2015","1.78","4.46"
"WESTVILLE","Town","2014/2015","2.08","3.69"
"WINDSOR","Town","2014/2015","1.9","3.99"
"WOLFVILLE","Town","2014/2015","1.43","3.55"
"YARMOUTH","Town","2014/2015","1.74","4.45"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2013/2014","1.66","4.76"
"CITY OF SYDNEY","Cape Breton Regional","2013/2014","2.28","5.65"
"DOMINION","Cape Breton Regional","2013/2014","2.08","4.98"
"GLACE BAY","Cape Breton Regional","2013/2014","2.1","4.98"
"LOUISBOURG","Cape Breton Regional","2013/2014","2.03","4.98"
"NEW WATERFORD","Cape Breton Regional","2013/2014","2.09","4.98"
"NORTH SYDNEY","Cape Breton Regional","2013/2014","2.12","4.98"
"SYDNEY MINES","Cape Breton Regional","2013/2014","2","4.98"
"BEDFORD","Halifax Regional","2013/2014","1.21","3.55"
"COUNTY RURAL","Halifax Regional","2013/2014","1.16","3.2"
"COUNTY SUBURBAN","Halifax Regional","2013/2014",,
"COUNTY URBAN","Halifax Regional","2013/2014","1.21","3.55"
"DARTMOUTH","Halifax Regional","2013/2014","1.21","3.55"
"HALIFAX URBAN CORE","Halifax Regional","2013/2014","1.21","3.55"
"LIVERPOOL","Region of Queens","2013/2014","1.86","2.96"
"QUEENS COUNTY","Region of Queens","2013/2014","0.97","2.07"
"ANNAPOLIS","Rural Municipality","2013/2014","0.98","1.8"
"ANTIGONISH","Rural Municipality","2013/2014","0.88","1.46"
"ARGYLE","Rural Municipality","2013/2014","1.07","2.25"
"BARRINGTON","Rural Municipality","2013/2014","1.06","2.62"
"CHESTER","Rural Municipality","2013/2014","0.66","1.53"
"CLARE","Rural Municipality","2013/2014","1.02","2.07"
"COLCHESTER","Rural Municipality","2013/2014","0.84","2.25"
"CUMBERLAND","Rural Municipality","2013/2014","1.04","2.63"
"DIGBY","Rural Municipality","2013/2014","1.3","1.85"
"EAST HANTS","Rural Municipality","2013/2014","0.87","2.7"
"GUYSBOROUGH","Rural Municipality","2013/2014","0.61","2.58"
"INVERNESS","Rural Municipality","2013/2014","1.02","1.85"
"KINGS","Rural Municipality","2013/2014","0.85","2.29"
"LUNENBURG","Rural Municipality","2013/2014","0.81","1.96"
"PICTOU","Rural Municipality","2013/2014","0.81","1.82"
"RICHMOND","Rural Municipality","2013/2014","0.77","2.07"
"SHELBURNE","Rural Municipality","2013/2014","1.28","1.82"
"ST. MARY'S","Rural Municipality","2013/2014","0.82","2.13"
"VICTORIA","Rural Municipality","2013/2014","1.2","2.1"
"WEST HANTS","Rural Municipality","2013/2014","0.92","1.68"
"YARMOUTH","Rural Municipality","2013/2014","1.15","2.15"
"AMHERST","Town","2013/2014","1.63","4.45"
"ANNAPOLIS ROYAL","Town","2013/2014","1.65","3.15"
"ANTIGONISH","Town","2013/2014","1","2.53"
"BERWICK","Town","2013/2014","1.51","3.8"
"BRIDGETOWN","Town","2013/2014","2.13","3.93"
"BRIDGEWATER","Town","2013/2014","1.65","3.99"
"CLARK'S HARBOR","Town","2013/2014","1.65","5.58"
"DIGBY","Town","2013/2014","1.99","4.18"
"HANTSPORT","Town","2013/2014","1.69","3.85"
"KENTVILLE","Town","2013/2014","1.37","3.38"
"LOCKEPORT","Town","2013/2014","2.28","5.36"
"LUNENBURG","Town","2013/2014","1.28","3.26"
"MAHONE BAY","Town","2013/2014","1.15","2.91"
"MIDDLETON","Town","2013/2014","1.78","4.26"
"MULGRAVE","Town","2013/2014","1.29","4.43"
"NEW GLASGOW","Town","2013/2014","1.82","4.4"
"OXFORD","Town","2013/2014","1.59","4.98"
"PARRSBORO","Town","2013/2014","1.99","4.13"
"PICTOU","Town","2013/2014","1.86","4.39"
"PORT HAWKESBURY","Town","2013/2014","1.78","4.38"
"SHELBURNE","Town","2013/2014","2.04","3.86"
"SPRINGHILL","Town","2013/2014","2.25","5.53"
"STELLARTON","Town","2013/2014","1.82","4.15"
"STEWIACKE","Town","2013/2014","1.7","3.41"
"TRENTON","Town","2013/2014","1.99","5.49"
"TRURO","Town","2013/2014","1.77","4.45"
"WESTVILLE","Town","2013/2014","2.08","3.69"
"WINDSOR","Town","2013/2014","1.96","4.08"
"WOLFVILLE","Town","2013/2014","1.43","3.55"
"YARMOUTH","Town","2013/2014","1.74","4.51"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2012/2013","1.64","4.74"
"CITY OF SYDNEY","Cape Breton Regional","2012/2013","2.25","5.62"
"DOMINION","Cape Breton Regional","2012/2013","2.05","4.95"
"GLACE BAY","Cape Breton Regional","2012/2013","2.08","4.95"
"LOUISBOURG","Cape Breton Regional","2012/2013","2","4.95"
"NEW WATERFORD","Cape Breton Regional","2012/2013","2.06","4.95"
"NORTH SYDNEY","Cape Breton Regional","2012/2013","2.09","4.95"
"SYDNEY MINES","Cape Breton Regional","2012/2013","1.97","4.95"
"BEDFORD","Halifax Regional","2012/2013","1.24","3.61"
"COUNTY RURAL","Halifax Regional","2012/2013","1.17","3.17"
"COUNTY SUBURBAN","Halifax Regional","2012/2013","1.21","3.6"
"COUNTY URBAN","Halifax Regional","2012/2013","1.24","3.61"
"DARTMOUTH","Halifax Regional","2012/2013","1.24","3.61"
"HALIFAX","Halifax Regional","2012/2013","1.22","3.6"
"HALIFAX URBAN CORE","Halifax Regional","2012/2013","1.24","3.61"
"LIVERPOOL","Region of Queens","2012/2013","1.84","2.98"
"QUEENS COUNTY","Region of Queens","2012/2013","0.93","2.07"
"ANNAPOLIS","Rural Municipality","2012/2013","0.98","1.8"
"ANTIGONISH","Rural Municipality","2012/2013","0.88","1.48"
"ARGYLE","Rural Municipality","2012/2013","1.07","2.25"
"BARRINGTON","Rural Municipality","2012/2013","1.06","2.63"
"CHESTER","Rural Municipality","2012/2013","0.64","1.54"
"CLARE","Rural Municipality","2012/2013","1.02","2.07"
"COLCHESTER","Rural Municipality","2012/2013","0.84","2.25"
"CUMBERLAND","Rural Municipality","2012/2013","1.04","2.63"
"DIGBY","Rural Municipality","2012/2013","1.3","1.85"
"EAST HANTS","Rural Municipality","2012/2013","0.88","2.71"
"GUYSBOROUGH","Rural Municipality","2012/2013","0.61","2.58"
"INVERNESS","Rural Municipality","2012/2013","1.02","1.85"
"KINGS","Rural Municipality","2012/2013","0.85","2.29"
"LUNENBURG","Rural Municipality","2012/2013","0.84","1.98"
"PICTOU","Rural Municipality","2012/2013","0.81","1.82"
"RICHMOND","Rural Municipality","2012/2013","0.75","2.01"
"SHELBURNE","Rural Municipality","2012/2013","1.28","1.82"
"ST. MARY'S","Rural Municipality","2012/2013","0.82","2.13"
"VICTORIA","Rural Municipality","2012/2013","1.2","2.15"
"WEST HANTS","Rural Municipality","2012/2013","0.94","1.68"
"YARMOUTH","Rural Municipality","2012/2013","1.15","2.15"
"AMHERST","Town","2012/2013","1.66","4.55"
"ANNAPOLIS ROYAL","Town","2012/2013","1.7","3.15"
"ANTIGONISH","Town","2012/2013","1","2.53"
"BERWICK","Town","2012/2013","1.59","3.88"
"BRIDGETOWN","Town","2012/2013","2.1","3.9"
"BRIDGEWATER","Town","2012/2013","1.65","3.99"
"CANSO","Town","2012/2013","2.35","4.08"
"CLARK'S HARBOR","Town","2012/2013","1.65","5.58"
"DIGBY","Town","2012/2013","1.94","3.99"
"HANTSPORT","Town","2012/2013","1.69","3.85"
"KENTVILLE","Town","2012/2013","1.36","3.47"
"LOCKEPORT","Town","2012/2013","2.28","5.36"
"LUNENBURG","Town","2012/2013","1.21","3.19"
"MAHONE BAY","Town","2012/2013","1.15","2.88"
"MIDDLETON","Town","2012/2013","1.78","4.26"
"MULGRAVE","Town","2012/2013","1.28","4.42"
"NEW GLASGOW","Town","2012/2013","1.82","4.4"
"OXFORD","Town","2012/2013","1.59","4.98"
"PARRSBORO","Town","2012/2013","2","4.15"
"PICTOU","Town","2012/2013","1.86","4.39"
"PORT HAWKESBURY","Town","2012/2013","1.62","4.27"
"SHELBURNE","Town","2012/2013","2.06","3.81"
"SPRINGHILL","Town","2012/2013","2.25","5.53"
"STELLARTON","Town","2012/2013","1.82","4.15"
"STEWIACKE","Town","2012/2013","1.7","3.41"
"TRENTON","Town","2012/2013","1.99","5.49"
"TRURO","Town","2012/2013","1.76","4.44"
"WESTVILLE","Town","2012/2013","2.09","3.8"
"WINDSOR","Town","2012/2013","1.96","4.08"
"WOLFVILLE","Town","2012/2013","1.43","3.55"
"YARMOUTH","Town","2012/2013","1.75","4.52"
