"registry_id","co_op_name","incorporation_year","address","town","province_state","postal_code","non_profit_n_for_profit_p","type"
"3089795","PINE HAVEN WATER CO-OPERATIVE LIMITED","2004-05-11","PO BOX 33","COLDBROOK","NS","B4R 1C5","P","SERVICES"
"3094170","WILD BLUEBERRY HARVEST CO-OPERATIVE LIMITED","2004-09-28","50 Little Yorke Road","Five Islands","NS","B0M 1K0","N","AGRICULTURE"
"3094178","PATHWAYS HOUSING SERVICES CO-OPERATIVE LTD.","2004-10-05","31 NAVARA CRESCENT","DARTMOUTH","NS","B2W 5L2","P","SERVICES"
"3094613","CAPE BLUE ROADS AND SERVICES CO-OPERATIVE LIMITED","2004-10-14","31 GREEN LANE","Havre Boucher","NS","B0H 1P0","P","SERVICES"
"3094888","EDUNOVA CO-OPERATIVE LIMITED","2004-10-26","1809 BARRINGTON STREET, 804","HALIFAX","NS","B3J 3K8","N","WORKER LABOUR"
"3095186","MERSEY TOBEATIC RESEARCH INSTITUTE CO-OPERATIVE LIMITED","2004-11-05","9 MOUNT MERRITT ROAD","KEMPT","NS","B0T 1B0","N","WORKER LABOUR"
"3095421","MUD CREEK MEDICAL CO-OPERATIVE LIMITED","2004-11-08","220-21 ROY AVENUE","NEW MINAS","NS","B4N 3R7","P","WORKER LABOUR"
"3097408","SUNRISE TRAIL COMMUNITY DEVELOPMENT CO-OPERATIVE LIMITED","2005-01-12","6250 WILLOW ST.","HALIFAX","NS","B3L 1N9","N","INVESTMENT"
"3097409","FUTURE GROWTH CO-OP LTD.","2005-01-14","765 MAIN STREET","Sydney Mines","NS","B1V 2L4","N","INVESTMENT"
"3100157","HEALTH INFORMATICS CANADA RESEARCH LABORATORY (HICRELA) CO-OPERATIVE LIMITED","2005-04-13","APT. 217 - 1326 LOWER WATER STREET","HALIFAX","NS","B3J 3R3","N","SERVICES"
"3102658","HEALTHY MINDS NETWORK CO-OPERATIVE LIMITED","2005-06-13","45 ALDERNEY DRIVE, SUITE 210","DARTMOUTH","NS","B2Y 2N6","N","SERVICES"
"3102967","CRAB QUOTA CO-OPERATIVE LTD.","2005-07-05","272 HALF ISLAND COVE RD","GUYSBOROUGH","NS","B0H 1N0","P","FISH PRODUCTS"
"3103778","WOLFVILLE FARMERS MARKET CO-OPERATIVE LIMITED","2005-07-13","24 ELM AVENUE","WOLFVILLE","NS","B4P 1Z9","N","AGRICULTURE"
"3104621","SHEAN INVESTMENT CO-OPERATIVE LIMITED","2005-08-23","Box 927","Inverness","NS","B0E 1N0","P","INVESTMENT"
"3110411","SYDPORT INVESTMENT CO-OPERATIVE LTD.","2005-09-28","PO Box 1201","Sydney","NS","B1P 6J9","P","INVESTMENT"
"3137611","FORMER HEALTH CARE CO-OPERATIVE LIMITED","2006-03-23","8903 COMMERCIAL ST.","NEW MINAS","NS","B4N 3E1","P","WORKER LABOUR"
"3141711","PORT HOOD RV CO-OPERATIVE LIMITED","2006-04-04","45 Wharf Road","Port Hood","NS","B0E 2W0","P","INVESTMENT"
"3160540","HEMFORD CEMETERY CO-OPERATIVE LTD.","2006-06-26","2093 HIGHWAY 208","Hemford","NS","B0R 1E0","N","WORKER LABOUR"
"3161312","PUGWASH FARMERS' MARKET CO-OPERATIVE LIMITED","2006-07-04","P.O. Box 197","Pugwash","NS","B0K 1L0","N","AGRICULTURE"
"3162613","PARRSBORO WELLNESS CENTRE CO-OP LTD.","2006-07-10","Box 868","Parrsboro","NS","B0M 1S0","N","SERVICES"
"3167235","KING'S BOOKSTORE CO-OPERATIVE LIMITED","2006-08-08","6350 COBURG ROAD","HALIFAX","NS","B3H 2A1","P","RETAIL CONSUMER PRODUCTS"
"3177313","NEW ROSS COUNTRY MARKET CO-OP LIMITED","2006-09-13","700 Hwy 12","Blue Mountain","NS","B4N 3V8","N","AGRICULTURE"
"3191173","SPRYVIEW HOUSING CO-OPERATIVE LIMITED","2006-10-31","PO Box 824","Lower Sackville","NS","B4C 3V3","N","HOUSING"
"3215055","TRURO FARMERS' MARKET CO-OPERATIVE LIMITED","2007-03-28","15 Young Street","Truro","NS","B2N 3W3","N","AGRICULTURE"
"3216455","STRAIT AREA TRANSIT CO-OPERATIVE LTD.","2007-04-10","47 PAINT STREET, UNIT 24","PORT HAWKESBURY","NS","B9A 3J9","N","WORKER LABOUR"
"3217645","TATAMAGOUCHE COMMUNITY LAND CO-OPERATIVE LTD.","2007-04-12","11 Alex Cox Road","WALDEGRAVE","NS","B0K 1V0","N","SERVICES"
"3217793","CONNECTING PEOPLE FOR HEALTH CO-OPERATIVE LIMITED","2007-04-25","435 WILLOW ST","Truro","NS","B2N 6T2","P","SERVICES"
"3218201","CAPE BRETON FARMERS' MARKET CO-OPERATIVE LIMITED","2007-05-22","PO Box 153, Station A","Sydney","NS","B1P 6H1","N","AGRICULTURE"
"3222050","CAPE BRETON MUSIC INDUSTRY CO-OPERATIVE LIMITED","2007-08-14","456 CHARLOTTE STREET","Sydney","NS","B1P1E4","N","WORKER LABOUR"
"3223356","HUBBARDS NURSERY SCHOOL CO-OPERATIVE LIMITED","2007-10-25","10089 St. Margarets Bay Road","Hubbards","NS","B0J 1T0","N","SERVICES"
"3223969","WHYCOCOMAGH INVESTMENT CO-OPERATIVE LIMITED","2007-11-16","2629 MIDDLE RIVER WEST","BADDECK","NS","B0E 1B0","P","INVESTMENT"
"3224429","GULF AQUARIUM AND MARINE STATION COOPERATIVE LTD. COOPÉRATIVE DE RECHERCHE MARINE ET AQUARIUM DU GOLF LTÉE","2007-12-03","PO Box 697","Cheticamp","NS","B0E 1H0","N","FISH PRODUCTS"
"3224641","COASTAL GROWTH MANAGEMENT CO-OPERATIVE LIMITED","2007-12-18","2499 Kings Road","Sydney","NS","B1L 1A1","P","FOREST PRODUCTS"
"3225644","MARGAREE TOURISM ASSOCIATION CO-OPERATIVE LIMITED","2008-01-28","GENERAL DELIVERY","Margaree Forks","NS","B0E 2A0","N","WORKER LABOUR"
"3229301","SMART CHRISTMAS TREE RESEARCH COOPERATIVE LTD.","2008-06-20","PO BOX 38, 8647 HWY 311","TATAMAGOUCHE","NS","B0K1V0","P","FOREST PRODUCTS"
"3230550","EVANGELINE ARTISTS' COOPERATIVE LTD.","2008-08-12","338 WEST BROOKLYN RD","WEST BROOKLYN","NS","B4P 2R3","N","CRAFT PRODUCTS"
"3230729","NS FARMERS' MARKET DEVELOPMENT COOPERATIVE LTD.","2008-08-29","25 Highland Drive","Truro","NS","B2N 1B8","N","INVESTMENT"
"3231260","CELTIC HEART OF NORTH AMERICA COOPERATIVE LIMITED","2008-09-12","321-170 GEORGE STREET","SYDNEY","NS","B1P 1J2","N","CRAFT PRODUCTS"
"3232669","ART 1274 HOLLIS CO-OPERATIVE LIMITED","2008-11-06","1274 Hollis Street","Halifax","NS","B3J 1T6","N","CRAFT PRODUCTS"
"3233867","ALL NS GREEN CHRISTMAS TREE CO-OP LTD.","2009-01-12","PO Box 98","New Germany","NS","B0R 1E0","P","FOREST PRODUCTS"
"3234142","MUSQUODOBOIT HARBOUR FARMERS MARKET CO-OPERATIVE LTD.","2009-01-22","7531  HIGHWAY 7","MUSQUODOBOIT HARBOUR","NS","B0J 2L0","N","AGRICULTURE"
"3234987","RIVERFEST CO-OP LIMITED","2009-02-20","2319 LOWER BRANCH RD","NEW CANADA","NS","B4V 4V7","N","SERVICES"
"3235541","HALIFAX CIRCUS CO-OPERATIVE LTD.","2009-03-23","P.O. BOX 29112","Halifax","NS","B3L 4T8","N","WORKER LABOUR"
"3235926","THE DANDELION COMMUNITY INVESTMENT COOPERATIVE LIMITED","2009-04-06","10 WEBSTER ST, SUITE 210","KENTVILLE","NS","B4N 1H7","P","INVESTMENT"
"3237614","THERMALWISE GREEN BUILDING CO-OPERATIVE LIMITED","2009-06-18","8-40 THORNHILL DRIVE","DARTMOUTH","NS","B3B 1S1","P","WORKER LABOUR"
"3238229","MIDDLETON FARMERS' MARKET COOPERATIVE LIMITED","2009-07-08","6160 Highway 10, RR #3","Middleton","NS","B0S 1P0","N","AGRICULTURE"
"3238983","NEW GLASGOW FARMERS MARKET COOPERATIVE LIMITED","2009-08-18","261 GLASGOW STREET","NEW GLASGOW","NS","B2H 5C2","N","AGRICULTURE"
"3245666","TIDNISH BRIDGE ART GALLERY CO-OP LIMITED","2010-05-14","3314 HWY 366","TIDNISH BRIDGE","NS","B4H 3X9","N","CRAFT PRODUCTS"
"3245670","THE OLD SCHOOL COMMUNITY GATHERING PLACE CO-OPERATIVE LIMITED","2010-05-14","P.O. BOX 185, 7962 HWY 7","MUSQUODOBOIT HARBOUR","NS","B0J 2L0","N","SERVICES"
"3245765","SERVING SENIORS ALLIANCE COOPERATIVE LTD.","2010-05-14","PO BOX 46074 , RPO HALIFAX NOVALEA","HALIFAX","NS","B3K 5V8","N","SERVICES"
"3246190","CAPE NORTH FARMERS MARKET COOPERATIVE LIMITED","2010-06-10","473 DINGWALL RD, PO BOX 88","DINGWALL","NS","B0C 1G0","N","AGRICULTURE"
"3246417","THE SCOTCH VILLAGE COOPERATIVE FARM LTD.","2010-06-18","852 HWY 236","SCOTCH VILLAGE","NS","B0N 2G0","P","AGRICULTURE"
"3246424","LA COOPÉRATIVE DE TRANSPORT DE CHÉTICAMP LIMITÉE","2010-06-18","P. O. BOX 1039","CHETICAMP","NS","B0E1H0","N","SERVICES"
"3246517","OFF THE HOOK COOPERATIVE LTD.","2010-06-23","2705 Fern Lane","Halifax","NS","B3K 4L3","P","FISH PRODUCTS"
"3247342","HALIFAX BREWERY FARMERS' MARKET CO-OP LTD.","2010-07-09","1496 LOWER WATER STREET, 312","HALIFAX","NS","B3J 1R9","N","AGRICULTURE"
"3247429","SADUKE HOUSING CO-OPERATIVE LIMITED","2010-08-01","PO Box 152, DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"3247949","MELVILLE DRIVE CO-OPERATIVE LTD.","2010-08-24","62 Melville Drive","Brookfield","NS","B0N 1C0","N","SERVICES"
"3251756","RED BRICK ROW INVESTMENT CO-OPERATIVE LIMITED","2011-01-28","PO BOX 1201","SYDNEY","NS","B1P 6J9","P","INVESTMENT"
"3252167","KAZAN CO-OP LTD.","2011-02-18","1772  OXFORD ST","HALIFAX","NS","B3H 3Z6","N","SERVICES"
"3252348","SHELBURNE FARMERS AND ARTISANS CO-OP LTD.","2011-02-25","PO BOX 1553","SHELBURNE","NS","B0T 1W0","N","AGRICULTURE"
"3252414","GUYSBOROUGH COMMUNITY MARKET CO-OPERATIVE LIMITED","2011-02-25","7035 HIGHWAY 16,","HALFWAY COVE","NS","B0H 1N0","N","AGRICULTURE"
"3252423","HERITAGE BOAT YARD COOPERATIVE LIMITED","2011-03-02","BOX 477, 74 PLEASANT STREET","MAHONE BAY","NS","B0J 2E0","N","SERVICES"
"3252678","DMV THEATRE CO-OP LTD.","2011-03-10","14 Nickerson Road","East Pennant","NS","B3V 1L9","N","SERVICES"
"3254330","FARMWORKS INVESTMENT CO-OPERATIVE LIMITED","2011-05-17","70 Eden Row","Greenwich","NS","B4P 2R2","P","INVESTMENT"
"3254480","ARGYLE FARMERS' & ARTISANAL MARKET CO-OPERATIVE LIMITED","2011-05-24","67 WILLIAM ROBBINS ROAD","TUSKET","NS","B0W 3M0","N","AGRICULTURE"
"3254486","YARMOUTH FARMERS' COMMUNITY MARKET CO-OPERATIVE LIMITED","2011-05-24","PO BOX 211","YARMOUTH","NS","B5A4B2","N","AGRICULTURE"
"3255104","THE LOADED LADLE HALIFAX CO-OPERATIVE LTD.","2011-06-07","6136 UNIVERISTY AVENUE","HALIFAX","NS","B3H 4R2","N","SERVICES"
"3255581","WEST GORE CEMETERY CO-OPERATIVE LTD.","2011-06-30","760 VALLEY ROAD","WEST GORE","NS","B0N 2N0","N","SERVICES"
"3256143","HARMONY HEALTH CENTRE COOPERATIVE LIMITED","2011-07-27","1153 King Street","Bridgewater","NS","B4V 1C3","P","SERVICES"
"3256149","MARITIME HOP GROWERS CO-OPERATIVE LIMITED","2011-07-27","35 MCINNIS ROAD","WALLACE RIDGE","NS","B0K 1E0","P","AGRICULTURE"
"3256956","THE DEANERY PROJECT CO-OPERATIVE LTD.","2011-09-01","751 WEST SHIP HARBOUR ROAD","LOWER SHIP HARBOUR","NS","B0J 2L0","N","SERVICES"
"3257242","WEST SIDE PERFORMING ARTS COOPERATIVE LIMITED","2011-09-15","HIGHWAY 252","SKYE GLEN","NS","B0E3M0","N","WORKER LABOUR"
"3258610","GETTING TO KNOW CANCER COOPERATIVE LTD.","2011-11-14","Room 229A Forrester Hall, 36 Arthur Street","Truro","NS","B2N 1X5","N","SERVICES"
"3260806","MUSGO RIDER COOPERATIVE LTD.","2012-02-08","325 PORTERS LAKE STATION ROAD","PORTERS LAKE","NS","B3E 1J9","N","SERVICES"
"3261409","CMEC ALUMNI & STUDENT CO-OP LTD.","2012-03-01","SAINT MARY'S UNIVERSITY, 923 ROBIE STREET","HALIFAX","NS","B3H 3C3","N","SERVICES"
"3264189","GRASS ROOTS UP CO-OPERATIVE LIMITED","2012-06-14","8618 Highway 366","Amherst","NS","B4H 3Y2","P","AGRICULTURE"
"3265337","HALIFAX MUSIC CO-OPERATIVE LIMITED","2012-07-27","P.O. BOX 997","HALIFAX","NS","B3J 2X2","N","SERVICES"
"3265866","AILEEN'S PETS WITHOUT VETS CO-OPERATIVE LTD.","2012-08-27","744 VICTORIA ROAD","SYDNEY","NS","B1N 1J4","N","SERVICES"
"3267060","THE BUS STOP THEATRE COOPERATIVE LTD.","2012-10-18","2203 GOTTINGEN STREET","HALIFAX","NS","B3K 3B5","N","SERVICES"
"3267523","NEEDHAM HOUSING CO-OPERATIVE LIMITED","2012-11-07","207-59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"3268827","CARBON ARC CINEMA COOPERATIVE LTD.","2013-01-02","3149 UNION ST.","HALIFAX","NS","B3K 5H2","N","SERVICES"
"3270113","EARRAS CO-OPERATIVE OF MABOU LTD.","2013-02-18","PO Box 262","MABOU","NS","B0E 1X0","N","SERVICES"
"3270137","HOME HEIRLOOMS CO-OPERATIVE LIMITED","2013-02-18","5665 WOODILL ST (LOWER)","HALIFAX","NS","B3K 1H1","N","SERVICES"
"3270325","NEW EDINGBURGH ARTIST'S COLONY CO-OP LTD.","2013-03-01","81 LINCOLN AVENUE","PORTSMOUTH","NEW HAMPSHIRE","038014426","N","CRAFT PRODUCTS"
"3273128","THE COMMUNITY CARROT CO-OPERATIVE LIMITED","2013-06-14","PO Box 730","HALIFAX","NS","B3J 2V1","P","RETAIL CONSUMER PRODUCTS"
"3277711","ARTPORT GALLERY COOPERATIVE LIMITED","2014-01-03","202 WALTER HAVILL DRIVE, APT 904,","HALIFAX","NS","B3N 3M4","N","CRAFT PRODUCTS"
"3278800","KLMPT HOUSE CO-OP LIMITED","2014-02-20","2153 HWY #1","CLEMENTSPORT","NS","B0S 1E0","P","HOUSING"
"3279073","PRIVATEER FARMERS MARKET CO-OPERATIVE LIMITED","2014-02-28","PO BOX 1058","LIVERPOOL","NS","B0T 1K0","N","AGRICULTURE"
"3279775","EASTERN SHORE COOPERATOR PUBLICATIONS COOPERATIVE LIMITED","2014-03-25","11 EAST PETPESWICK ROAD","MUSQUODOBOIT HARBOUR","NS","B0J 2L0","N","CRAFT PRODUCTS"
"3280607","MEDWAY COMMUNITY FOREST CO-OPERATIVE LTD.","2014-04-30","PO BOX 157","CALEDONIA","NS","B0T1B0","P","FOREST PRODUCTS"
"3280780","AMHERST TRAIN STATION ARTISAN GALLERY COOPERATIVE LIMITED","2014-05-05","142 SOUTH ALBION STREET, SUITE 150","AMHERST","NS","B4H 4H4","N","CRAFT PRODUCTS"
"3280816","ARTISYNC TECHNOLOGIES CO-OP LTD.","2014-05-13","812 Upper Prince Street","Sydney","NS","B1P 5N7","P","CRAFT PRODUCTS"
"3287240","HERMES ART GALLERY CO-OPERATIVE LIMITED","2015-02-20","5682 North Street, #101","Halifax","NS","B3K 1N4","N","CRAFT PRODUCTS"
"3288944","LAHAVE CRAFT COOPERATIVE LIMITED","2015-04-16","PO BOX 967, 136 YORK STREET","LUNENBURG","NS","B0J 2C0","N","CRAFT PRODUCTS"
"3289711","PAN CAPE BRETON FOOD HUB CO-OPERATIVE LTD.","2015-05-27","1415 HWY 105","BRAS D'OR","NS","B1Y 2M7","N","AGRICULTURE"
"3289866","MABOU FARMERS MARKET COOPERATIVE LIMITED","2015-06-01","BOX 155","MABOU","NS","B0E 1X0","N","AGRICULTURE"
"3291314","NS CO-OPERATIVE COUNCIL LIMITED","2015-07-14","435 WILLOW STREET","Truro","NS","B2N 6T2","N","SERVICES"
"3292144","PLANIFAX PRODUCTION CO-OPERATIVE LIMITED","2015-09-01","527-1065 BARRINGTON STREET","HALIFAX","NS","B3H 0B7","N","MISCELLANEOUS"
"3293059","ANTIGONISH COMMUNITY ENERGY COOPERATIVE LIMITED","2015-10-13","59 MACKEN ROAD","ANTIGONISH LANDING","NS","B2G 2L2","N","SERVICES"
"3293293","NORTH QUEENS BUSINESS CENTRE & INNOVATION HUB CO-OP LTD.","2015-09-28","PO BOX 186","CALEDONIA","NS","B0T 1B0","N","SERVICES"
"3293305","CUMBERLAND COUNTY SALT HAULERS CO-OPERATIVE LIMITED","2015-10-23","514 RIPLEY ROAD","TRUEMANVILLE","NS","B4H3Y2","P","WORKER LABOUR"
"3294154","NATURA HOLDINGS CO-OP LTD.","2015-11-25","73-B Prince Street","Bridgewater","NS","B4V 1C9","P","HOUSING"
"3294675","HOPE SEEDS CO-OPERATIVE LIMITED","2015-12-09","PO BOX 460","ANNAPOLIS ROYAL","NS","B0S 1A0","P","AGRICULTURE"
"3295767","NORTH STAR YACHT CLUB CO-OPERATIVE LTD.","2016-02-03","2858 PURCELLS COVE ROAD","HALIFAX","NS","B3V 1G3","N","SERVICES"
"3295869","WENTWORTH LEARNING CENTRE COOPERATIVE LTD.","2016-02-03","13371 HIGHWAY 4","WENTWORTH","NS","B0M 1Z0","N","SERVICES"
"3296525","MUSGO RIDER VALLEY-SHEET HARBOUR COOPERATIVE LTD.","2016-01-14","325 PORTERS LAKE STATION ROAD","PORTERS LAKE","NS","B3E 1J9","N","SERVICES"
"3296528","RED CLAY CONSERVATION COOPERATIVE LIMITED","2016-01-26","4715 HIGHWAY #2","UPPER ECONOMY","NS","B0M 1B0","P","SERVICES"
"3296530","FISHERMAN'S COVE GALLERY CO-OP LTD.","2016-02-11","PO BOX 564, STN MAIN","EASTERN PASSAGE","NS","B3G 1M8","N","CRAFT PRODUCTS"
"3299462","GREAT ISLAND ARTS CO-OPERATIVE LIMITED","2016-06-08","PO BOX 120","PORT MEDWAY","NS","B0J 2T0","N","CRAFT PRODUCTS"
"3299778","NEUROQUALIA CO-OPERATIVE LTD.","2016-06-08","ROOM 229A, FORRESTER HALL, 36 ARTHUR ST","TRURO","NS","B2N 1X5","N","SERVICES"
"3301326","LAWRENCETOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LTD.","2016-07-19","108 LAWRENCETOWN LANE","LAWRENCETOWN","NS","B0S 1M0","P","INVESTMENT"
"3302211","CEDAR LAKE WIRELESS COOPERATIVE LTD.","2016-10-18","BOX 112","PORT MAITLAND","NS","B5A 5R9","N","SERVICES"
"3302527","WESTERN WOODLOT SERVICES COOPERATIVE LTD.","2016-10-31","3594 SECOND DIVISION ROAD","CONCESSION","NS","B0W 1M0","N","FOREST PRODUCTS"
"3302530","LOCHABER GROWERS COOPERATIVE LTD.","2016-10-18","LOCHABER GROWERS, 1772 HIGHWAY 7","NORTH LOCHABER","NS","B2G 2L3","N","AGRICULTURE"
"3306569","SOIL MATES COOPERATIVE LIMITED","2017-04-03","404 FARMINGTON RD","BARSS CORNER","NS","B0R 1A0","P","AGRICULTURE"
"3307061","MUTUAL ALLIANCE CO-OPERATIVE LIMITED","2017-04-25","9877 LONGWOODS RD","CHATHAM","ON","N7M 5J7","P","INVESTMENT"
"3308322","NEWCAPELAND PROPERTIES CO-OP LTD.","2017-05-30","9877 LONGWOODS RD","CHATHAM","ON","N7M 5J7","P","SERVICES"
"3309375","SOUTH SHORE TOURISM COOPERATIVE LIMITED","2017-07-11","527 HWY 10","COOKVILLE","NS","B4V 7P4","N","SERVICES"
"3309533","ABILITY WOOD PRODUCTS CO-OPERATIVE LIMITED","2017-07-18","40 LOWER MACLEAN STREET","GLACE BAY","NS","B1A 2K7","P","RETAIL CONSUMER PRODUCTS"
"3310038","SPRUCE DRIVE CO-OPERATIVE LTD.","2017-08-08","8 SPRUCE DRIVE","HEATHERTON","NS","B0H 1R0","N","SERVICES"
"3313807","RIVARD'S LUMBER & HARDWARE CO-OP LTD.","2017-12-21","9877 LONGWOODS RD","CHATHAM","ON","N7M 5J7","P","FOREST PRODUCTS"
"3317324","TOWN FARM CO-OP LTD.","2018-05-05","3587 PLUMMER AVENUE","NEW WATERFORD","NS","B1H 2A4","N","AGRICULTURE"
"3318376","GLITTER BEAN CAFE CO-OPERATIVE LTD.","2018-05-24","PO BOX 31009 GLADSTONE","HALIFAX","NS","B3K5T9","P","WORKER LABOUR"
"3318648","KICK AT THE DARK THEATRE CO-OPERATIVE LIMITED","2018-06-18","115 OCHTERLONEY STREET, 408","DARTMOUTH","NS","B2Y 4W8","N","SERVICES"
"3319680","ARC OF THE COAST EASTERN CAPE BRETON COOPERATIVE ALLIANCE LTD.","2018-07-31","8704 GABARUS HWY","GABARUS","NS","B1K 3R9","N","SERVICES"
"3319912","LANDING STRONG CO-OPERATIVE LIMITED","2018-08-08","P.O. BOX 397","WINDSOR","NS","B0N 2T0","N","WORKER LABOUR"
"3321514","LIFE. SCHOOL. HOUSE CO-OPERATIVE LIMITED","2018-10-09","15 PUNCH BOWL DR","HALIFAX","NS","B3P 2C4","N","SERVICES"
"3323312","QUEENS OF THE GLAMAZON CO-OPERATIVE LIMITED","2018-12-07","408- 960 BARRINGTON STREET","HALIFAX","NS","B3H 2P7","N","SERVICES"
"3325554","NOWLC-NET COOPERATIVE LIMITED","2019-03-12","197 WILES LAKE ROAD","WILEVILLE","NS","B4V 5L7","P","SERVICES"
"3327891","BOOMER HAVEN CO-OP LTD.","2019-05-23","210 LYMAN STREET","TRURO","NS","B2N 4S6","N","SERVICES"
"3328620","MUSIC IN COMMUNITIES COOPERATIVE LTD.","2019-06-17","PO BOX 429","CANNING","NS","B0P 1H0","N","SERVICES"
"3329083","VICTORIA COUNTY TRANSIT CO-OPERATIVE LTD.","2019-07-11","495 CHEBUCTO STREET","BADDECK","NS","B0E 1B0","N","SERVICES"
"3329714","OSPREY RIDGE WINERY CO-OP LTD.","2019-08-08","714 KING ST.","BRIDGEWATER","NS","B4V 1B4","N","AGRICULTURE"
"3332853","THE ARTIST'S CIRCLE OF ANNAPOLIS VALLEY CO-OPERATIVE LTD.","2019-11-22","PO BOX 20","MARGARETSVILLE","NS","B0S 1N0","N","CRAFT PRODUCTS"
"3332900","AINSLIE VIEW CO-OPERATIVE LIMITED","2019-12-06","9657 TRANS CANADA HWY 105","WHYCOCOMAGH","NS","B0E 3M0","P","SERVICES"
"3335677","FLOURISH COMMUNITY DEVELOPMENT CO-OPERATIVE LTD.","2020-03-04","89 CRAIGVIEW DRIVE","GLENHAVEN","NS","B3Z 2S5","P","SERVICES"
"3339079","COMMUNITY IMPACT INVESTMENT CO-OPERATIVE LIMITED","2020-05-06","435 WILLOW STREET","TRURO","NS","B2N 6T2","N","INVESTMENT"
"3339122","NOVALEA FARMERS' MARKET CO-OPERATIVE LIMITED","2020-07-14","3540 NOVALEA DR.","HALIFAX","NS","B3K 3E8","N","AGRICULTURE"
"3339578","DOCS OF VALLEY EMERGENCY CO-OPERATIVE LIMITED","2020-08-10","PO B0X 440","PORT WILLIAMS","NS","B0P 1T0","P","WORKER LABOUR"
"3339985","SOUTH SHORE EMERGENCY PHYSICIANS CO-OPERATIVE LIMITED","2020-08-26","90 GLEN ALLAN DRIVE","BRIDGEWATER","NS","B4V 3S6","P","WORKER LABOUR"
"3341012","YARMOUTH EMERGENCY PHYSICIANS CO-OPERATIVE LIMITED","2020-09-21","60 VANCOUVER STREET","YARMOUTH","NS","B5A 2P5","P","WORKER LABOUR"
"3342906","BLACK WELLNESS CO-OPERATIVE OF NS LTD.","2020-09-03","36 DUKE STREET","BEDFORD","NS","B4A 2Z5","N","SERVICES"
"3342945","GALE FORCE THEATRE CO-OPERATIVE LTD.","2020-11-24","6199 ALLAN STREET","HALIFAX","NS","B3L 1G7","N","SERVICES"
"3343530","WINTERGREEN HOUSING CO-OPERATIVE LIMITED","2020-12-15","6156  DUNCAN ST","HALIFAX","NS","B3L 1K2","N","HOUSING"
"4205364","RAISING THE VILLAGES CO-OPERATIVE  LTD.","2021-04-09","456 PIPERS GLEN ROAD","SOUTHWEST MARGAREE","NS","B0E 3H0","N","SERVICES"
"4208462","NORTHUMBERLAND LAMB MARKETING CO-OPERATIVE LIMITED","2021-04-01","24 BROOKSIDE BRANCH ROAD","BIBLE HILL","NS","B6L 2A6","P","AGRICULTURE"
"4321556","LUMINOSITY CIRCUS CO-OPERATIVE LTD.","2021-05-20","3-644 PORTLAND STREET, 104","DARTMOUTH","NS","B2W6C4","N","WORKER LABOUR"
"4322243","EARTH ALTAR MUSIC CO-OPERATIVE LIMITED","2021-07-01","2464  CREIGHTON ST","HALIFAX","NS","B3K 3S1","P","WORKER LABOUR"
"4341719","KITCHEN PARTY BUSINESS CO-OPERATIVE LIMITED","2021-07-30","6062  WILLOW ST","HALIFAX","NS","B3K 1L9","N","SERVICES"
"4359842","SOLDIERS MEMORIAL HOSPITAL EMERGENCY PHYSICIANS CO-OPERATIVE   LIMITED","2021-09-29","P.O. BOX 730","MIDDLETON","NS","B0S 1P0","P","WORKER LABOUR"
"4371559","RIVER JOHN CULTURAL AND WELLNESS  CO-OPERATIVE LTD.","2021-11-09","1122 CAPE JOHN ROAD","RIVER JOHN","NS","B0K1N0","N","WORKER LABOUR"
"4372349","MARITIME AGRITECH CO-OPERATIVE OF ROBOTICS ENTREPRENEURS LTD","2021-12-01","29 CANTERBURY ST","DARTMOUTH","NS","B2Y 1T1","N","SERVICES"
"4372773","SYDNEY SOLAR CO-OPERATIVE LTD.","2021-10-18","P.O. BOX 327","SYDNEY","NS","B1P 6H2","N","SERVICES"
"4377126","FALL POND CONSERVATION CO-OPERATIVE LTD","2021-11-23","142 EAST BERLIN RD,","BROOKLYN","NS","B0J 1H0","P","HOUSING"
"4394954","LAMBDA HEALTH CO-OPERATIVE LIMITED","2022-07-28","6191  ALLAN ST, UNIT 2","HALIFAX","NS","B3L 1G7","N","WORKER LABOUR"
"4397854","VILLAGE FITNESS CENTRE CO-OPERATIVE LTD.","2022-02-14","P.O. BOX 38","ST. PETER'S","NS","B0E 3B0","N","SERVICES"
"4414314","IN MY OWN VOICE (IMOVE) MEDIA PRODUCTION AND LEARNING CO-OPERATIVE  LTD.","2022-04-21","215 EAST PETPESWICK ROAD","EAST PETPESWICK","NS","B0J 2L0","N","SERVICES"
"4414903","CENTRE STAGE COMMUNITY DEVELOPMENT CO-OPERATIVE LTD.","2022-07-27","215 EAST PETPESWICK ROAD","EAST PETPESWICK","NS","B0J 2L0","N","SERVICES"
"4415971","SEVEN GENERATIONS TRADING POST CO-OPERATIVE  LIMITED","2022-06-20","57  MARTIN CRES","MILLBROOK 27","NS","B2N 6N7","P","FOREST PRODUCTS"
"4417396","WHITNEY PIER MEMORIAL MIDDLE SCHOOL NON PROFIT CO-OPERATIVE LTD.","2022-05-17","199 JAMIESON ST.","SYDNEY","NS","B1N 2P7","N","SERVICES"
